id;locale;code;gmt;order_fee;user_cash
890568105;SG;blogs;2016/3/25 11:16;0;0
890568105;SG;blogs;2016/3/25 11:10;0;0
224167868;SA;ads;2016/3/25 2:34;632.83;632.83
912654770;SG;blogs;2016/3/25 1:38;0;0
912654770;SG;blogs;2016/3/25 1:37;0;0
203637993;IN;ads;2016/3/25 0:20;632.83;1902.409024
863218886;KR;blogs;2016/3/24 23:59;13.858977;13.858977
746884654;US;blogs;2016/3/24 21:25;0;0
702271700;US;blogs;2016/3/24 18:38;0;112.037946
883515039;AE;blogs;2016/3/24 17:37;0;0
669754705;US;blogs;2016/3/24 16:54;0;44.677798
371106939;DE;blogs;2016/3/24 16:51;14.998071;14.998071
747179802;IN;blogs;2016/3/24 2:07;0;0
613942049;US;blogs;2016/3/24 1:47;12.593317;182.836417
698747419;GB;ads;2016/3/24 0:43;759.396;759.396
681941331;US;blogs;2016/3/23 22:01;0;0
76733035;MA;blogs;2016/3/23 19:33;12.593317;175.797917
76733035;MA;blogs;2016/3/23 19:25;0;0
76733035;MA;blogs;2016/3/23 19:24;0;0
10783582;US;blogs;2016/3/23 14:26;0;0
727500343;SG;blogs;2016/3/23 13:18;0;0
240471449;PE;blogs;2016/3/22 23:50;0;0
541116017;GB;ads;2016/3/22 21:01;759.396;759.396
722677101;DE;blogs;2016/3/22 20:51;0;165.13074
105325678;US;blogs;2016/3/22 17:54;0;170.2431
602261764;SG;ads;2016/3/22 17:17;677.1281;677.1281
602261764;SG;ads;2016/3/22 17:14;677.1281;677.1281
529404844;MY;blogs;2016/3/22 13:13;0;0
212493601;HK;ads;2016/3/22 12:11;632.83;632.83
688479489;TW;blogs;2016/3/22 11:19;0;46.225671
688479489;TW;blogs;2016/3/22 11:17;0;0
211781403;GB;ads;2016/3/22 1:06;759.396;759.396
527492783;GB;ads;2016/3/22 0:56;759.396;759.396
197138005;GB;blogs;2016/3/21 23:06;0;0
337061992;KH;blogs;2016/3/21 22:08;0;40.80115
19121640;AU;blogs;2016/3/21 18:35;0;0
171616703;IN;ads;2016/3/21 17:18;632.83;632.83
642384698;DE;blogs;2016/3/21 17:17;0;0
19121640;AU;blogs;2016/3/21 16:45;0;0
79225607;TH;blogs;2016/3/21 14:53;0;0
377094207;MY;blogs;2016/3/21 14:51;12.593317;40.840267
241301137;MY;blogs;2016/3/21 14:22;0;0
241301137;MY;blogs;2016/3/21 14:18;0;0
331775888;US;blogs;2016/3/21 10:44;0;3304.950916
598799678;IN;blogs;2016/3/21 10:43;0;0
599826019;IN;blogs;2016/3/21 10:43;0;0
599826019;IN;blogs;2016/3/21 10:42;0;0
596598400;ID;blogs;2016/3/21 9:49;0;0
410855638;US;blogs;2016/3/21 6:20;0;712.835002
380847324;GB;ads;2016/3/21 4:42;759.396;759.396
376844402;ES;blogs;2016/3/21 4:10;12.593317;97.564567
371106939;DE;ads;2016/3/21 4:01;753.0677;753.0677
558480441;VN;blogs;2016/3/20 23:45;0;0
105331185;AZ;blogs;2016/3/20 22:51;0;75.24198
542857134;IN;blogs;2016/3/20 19:10;0;0
542751399;AU;blogs;2016/3/20 18:54;0;0
542751399;AU;blogs;2016/3/20 18:53;0;0
441087873;MY;blogs;2016/3/20 15:53;0;0
441087873;MY;blogs;2016/3/20 15:51;0;0
336286914;PE;blogs;2016/3/20 4:57;0;0
504051720;US;ads;2016/3/20 3:37;632.83;16745.85542
606586153;MY;blogs;2016/3/19 23:59;0;0
460617261;ID;blogs;2016/3/19 23:49;0;0
391562032;IN;blogs;2016/3/19 18:24;0;0
19430357;ID;blogs;2016/3/19 17:06;0;0
114777529;SG;blogs;2016/3/19 17:00;0;0
268704288;IN;blogs;2016/3/19 16:31;0;0
709901591;IN;blogs;2016/3/19 15:16;0;352.233178
442668013;IN;blogs;2016/3/19 15:02;0;0
12331619;MY;blogs;2016/3/19 14:52;0;0
709901591;IN;blogs;2016/3/19 12:57;0;0
112275571;SG;blogs;2016/3/19 10:33;0;0
426001235;US;blogs;2016/3/19 10:29;0;0
426001235;US;blogs;2016/3/19 10:28;0;0
143894083;FR;blogs;2016/3/19 0:06;0;0
152251881;GB;blogs;2016/3/18 23:21;0;0
329432062;US;blogs;2016/3/18 21:15;0;556.4296
622175658;US;blogs;2016/3/18 20:04;0;0
622175658;US;blogs;2016/3/18 20:04;0;0
792141935;US;blogs;2016/3/18 19:20;0;74.35483
365686982;IN;blogs;2016/3/18 18:41;0;0
365686982;IN;blogs;2016/3/18 18:02;0;0
364660147;US;blogs;2016/3/18 17:34;0;0
364660147;US;blogs;2016/3/18 17:29;0;0
303596745;SG;ads;2016/3/18 12:52;677.1281;677.1281
949283840;US;blogs;2016/3/18 11:27;0;56.4939
208477228;TW;blogs;2016/3/18 8:32;13.226147;13.226147
325724059;DO;blogs;2016/3/18 6:34;0;0
308084147;IN;blogs;2016/3/18 6:01;0;0
313756353;US;blogs;2016/3/18 5:52;0;0
313756353;US;blogs;2016/3/18 5:50;0;0
224167868;SA;blogs;2016/3/18 2:51;0;0
308084147;IN;blogs;2016/3/18 2:34;0;0
310944173;IN;blogs;2016/3/18 2:29;0;0
966632366;US;blogs;2016/3/17 21:24;0;113.472
398984792;US;blogs;2016/3/17 15:07;0;340.4862
521507750;US;blogs;2016/3/17 15:06;0;214.070513
55933924;US;blogs;2016/3/17 12:42;0;52.398324
256173094;NO;blogs;2016/3/17 11:22;0;0
208477228;TW;blogs;2016/3/17 8:11;0;0
208477228;TW;blogs;2016/3/17 8:09;0;0
81095624;ID;blogs;2016/3/17 2:46;63.283;148949.6739
248621995;ID;blogs;2016/3/17 2:45;63.283;914.028619
223703539;TR;blogs;2016/3/17 2:24;0;0
223703539;TR;blogs;2016/3/17 2:22;0;0
358576897;ES;ads;2016/3/17 1:58;765.7243;765.7243
43306741;GB;blogs;2016/3/17 1:04;0;0
207127493;ES;blogs;2016/3/16 21:42;0;10.631544
179072534;ID;blogs;2016/3/16 13:56;0;0
472237325;MY;blogs;2016/3/16 11:08;0;0
941658304;US;blogs;2016/3/16 5:28;0;0
959851275;CA;blogs;2016/3/16 0:33;12.593317;25.386987
8682791;US;blogs;2016/3/15 23:23;12.593317;12.593317
30997096;IN;blogs;2016/3/15 18:12;0;0
318157504;US;blogs;2016/3/15 15:43;0;3.013008
936640104;US;blogs;2016/3/15 15:40;0;171.090503
966621918;US;ads;2016/3/15 13:13;632.83;856.796419
245742330;DE;blogs;2016/3/15 4:37;75.30677;75.30677
680202510;FR;blogs;2016/3/14 20:28;0;0
590512867;IN;blogs;2016/3/14 18:37;0;0
881096970;AE;blogs;2016/3/14 18:33;12.593317;12.593317
197138005;GB;blogs;2016/3/14 18:18;0;0
358903400;IN;blogs;2016/3/14 16:39;0;0
322449311;DK;ads;2016/3/14 15:03;0;0
989891839;MY;blogs;2016/3/14 13:55;0;0
224167868;SA;ads;2016/3/14 12:45;632.83;632.83
243800211;US;blogs;2016/3/14 11:45;0;0
574399804;ID;blogs;2016/3/14 9:00;0;272.802766
875871758;IT;blogs;2016/3/14 7:39;0;0
875871758;IT;blogs;2016/3/14 7:38;15.377769;15.377769
875871758;IT;blogs;2016/3/14 7:37;0;0
333620201;US;blogs;2016/3/14 4:45;0;0
240471449;PE;blogs;2016/3/14 3:29;0;0
936164507;GB;ads;2016/3/13 21:56;759.396;759.396
821906235;US;blogs;2016/3/13 18:40;0;0
184269280;NL;blogs;2016/3/13 16:54;0;0
184269280;NL;blogs;2016/3/13 16:53;0;0
919974712;SG;blogs;2016/3/13 13:51;0;0
604970466;SG;blogs;2016/3/13 10:39;0;0
415534508;MY;blogs;2016/3/13 9:25;0;0
19272814;ES;ads;2016/3/12 17:06;765.7243;1531.4486
532807528;US;blogs;2016/3/12 10:40;0;0
168501470;AU;blogs;2016/3/12 9:46;0;0
168501470;AU;blogs;2016/3/12 8:57;0;0
791544310;ZA;blogs;2016/3/12 7:45;0;0
806958038;BR;blogs;2016/3/12 6:31;0;0
806958038;BR;blogs;2016/3/12 6:30;0;0
667789830;PE;blogs;2016/3/11 6:26;0;0
712373554;IN;blogs;2016/3/11 4:13;0;0
712373554;IN;blogs;2016/3/11 4:10;0;0
710171583;IN;blogs;2016/3/11 3:43;0;0
164318515;VN;blogs;2016/3/10 19:46;0;0
327214871;AU;blogs;2016/3/10 18:21;0;0
253196470;US;blogs;2016/3/10 14:28;0;201.015121
615392255;US;blogs;2016/3/10 0:55;0;0
608257779;IN;blogs;2016/3/9 23:18;0;0
358903400;IN;blogs;2016/3/9 20:25;0;0
358903400;IN;blogs;2016/3/9 18:01;0;0
262796831;NG;blogs;2016/3/9 17:48;0;0
917572542;ID;blogs;2016/3/9 11:58;0;0
204154407;AE;blogs;2016/3/9 11:40;0;0
561002849;US;blogs;2016/3/9 10:48;0;0
561002849;US;blogs;2016/3/9 10:46;0;0
508736660;US;blogs;2016/3/8 19:37;0;0
887020885;US;blogs;2016/3/8 17:34;0;80031.36426
47151189;US;blogs;2016/3/8 17:33;0;0
386075293;US;blogs;2016/3/8 16:37;0;1633.492803
687062528;US;blogs;2016/3/8 14:48;0;0
211454434;SG;blogs;2016/3/8 14:41;0;0
870678557;AE;blogs;2016/3/8 14:41;0;0
993314635;ID;blogs;2016/3/8 11:57;0;0
502255880;AU;blogs;2016/3/8 11:37;0;0
956624915;US;blogs;2016/3/8 11:21;0;0
972239402;SG;blogs;2016/3/8 11:09;0;0
513667933;ID;blogs;2016/3/8 10:57;0;0
598437438;AU;blogs;2016/3/8 10:07;0;0
958790451;US;blogs;2016/3/8 6:03;0;92.076765
881096970;AE;blogs;2016/3/8 5:02;0;0
881096970;AE;blogs;2016/3/8 4:59;0;0
59187350;US;blogs;2016/3/8 1:29;0;0
150828415;GB;blogs;2016/3/8 1:22;0;0
318399101;NL;blogs;2016/3/7 23:26;0;0
212493601;HK;ads;2016/3/7 23:06;632.83;632.83
974454915;GB;blogs;2016/3/7 21:03;0;0
956624915;US;blogs;2016/3/7 16:45;0;0
933217567;US;blogs;2016/3/7 15:34;0;0
933217567;US;blogs;2016/3/7 15:32;0;0
933217567;US;blogs;2016/3/7 15:29;0;0
358679693;FR;ads;2016/3/7 1:57;759.396;759.396
297804788;MY;blogs;2016/3/6 21:59;0;0
297804788;MY;blogs;2016/3/6 21:57;0;0
911991335;FR;blogs;2016/3/6 15:56;0;0
933407301;US;blogs;2016/3/6 14:04;0;0
933407301;US;blogs;2016/3/6 14:01;0;0
956624915;US;blogs;2016/3/6 14:00;0;0
956624915;US;blogs;2016/3/6 13:59;0;0
896424119;ES;blogs;2016/3/5 2:01;76.57243;111.061665
558480925;ID;blogs;2016/3/2 21:13;0;0
118382248;US;blogs;2016/3/2 18:10;0;0
118382248;US;blogs;2016/3/2 18:09;0;0
118382248;US;blogs;2016/3/2 18:09;0;0
630178905;US;blogs;2016/3/2 13:53;0;0
519476377;SG;blogs;2016/3/1 22:26;0;0
